Time,Device,B_hat,J_m,Best_Js,Target_MEC,J_d,p_L,p_U,p_0,Init_Mode,Final_Mode,Cost,Energy
14,9,-0.002705,6.825656e-08,5.500808e-08,3,2.000000e-08,2.189082e-01,1.000000e+00,1.820952e-03,3,3,2.000000e-03,0.000000e+00
15,2,-0.002658,6.731410e-08,5.387595e-08,1,2.000000e-08,2.762582e-01,1.000000e+00,1.176268e-03,3,3,2.000000e-03,0.000000e+00
15,3,-0.002657,6.729282e-08,5.400805e-08,5,2.000000e-08,2.279603e-01,1.000000e+00,1.706988e-03,3,3,2.000000e-03,0.000000e+00
15,4,-0.002724,6.864793e-08,5.528214e-08,2,2.000000e-08,2.511534e-01,1.000000e+00,1.389176e-03,3,3,2.000000e-03,0.000000e+00
15,5,-0.002743,6.902333e-08,5.563862e-08,3,2.000000e-08,2.572694e-01,1.000000e+00,1.318663e-03,3,3,2.000000e-03,0.000000e+00
15,6,-0.002677,6.769805e-08,5.455751e-08,5,2.000000e-08,1.957775e-01,1.000000e+00,2.260238e-03,3,3,2.000000e-03,0.000000e+00
15,7,-0.002654,6.725026e-08,5.377594e-08,3,2.000000e-08,2.907877e-01,1.000000e+00,1.066536e-03,3,3,2.000000e-03,0.000000e+00
15,8,-0.002720,6.856556e-08,5.521157e-08,2,2.000000e-08,2.474872e-01,1.000000e+00,1.431137e-03,3,3,2.000000e-03,0.000000e+00
15,9,-0.002704,6.823821e-08,5.484953e-08,1,2.000000e-08,2.585904e-01,1.000000e+00,1.319855e-03,3,3,2.000000e-03,0.000000e+00
16,1,-0.002643,6.701389e-08,5.370275e-08,7,2.000000e-08,2.350247e-01,1.000000e+00,1.615852e-03,3,3,2.000000e-03,0.000000e+00
16,2,-0.002657,6.730000e-08,5.393033e-08,7,2.000000e-08,2.523831e-01,1.000000e+00,1.402050e-03,3,3,2.000000e-03,0.000000e+00
16,3,-0.002640,6.696897e-08,5.363642e-08,4,2.000000e-08,2.410907e-01,1.000000e+00,1.539260e-03,3,3,2.000000e-03,0.000000e+00
16,5,-0.002719,6.855018e-08,5.507667e-08,2,2.000000e-08,2.904458e-01,1.000000e+00,1.048774e-03,3,3,2.000000e-03,0.000000e+00
16,7,-0.002654,6.724073e-08,5.376907e-08,8,2.000000e-08,2.896677e-01,1.000000e+00,1.074582e-03,3,3,2.000000e-03,0.000000e+00
16,8,-0.002674,6.764060e-08,5.422020e-08,8,2.000000e-08,2.696486e-01,1.000000e+00,1.226991e-03,3,3,2.000000e-03,0.000000e+00
16,9,-0.002671,6.758777e-08,5.441219e-08,8,2.000000e-08,2.027304e-01,1.000000e+00,2.122432e-03,3,3,2.000000e-03,0.000000e+00
16,10,-0.002689,6.793749e-08,5.443796e-08,2,2.000000e-08,3.018491e-01,1.000000e+00,9.827912e-04,3,3,2.000000e-03,0.000000e+00
17,2,-0.002611,6.638756e-08,5.303187e-08,4,2.000000e-08,2.480094e-01,1.000000e+00,1.469284e-03,3,3,2.000000e-03,0.000000e+00
17,4,-0.002694,6.803251e-08,5.486468e-08,5,2.000000e-08,2.011488e-01,1.000000e+00,2.141207e-03,3,3,2.000000e-03,0.000000e+00
17,5,-0.002706,6.827899e-08,5.496019e-08,4,2.000000e-08,2.371596e-01,1.000000e+00,1.560658e-03,3,3,2.000000e-03,0.000000e+00
17,6,-0.002608,6.633002e-08,5.296052e-08,7,2.000000e-08,2.523304e-01,1.000000e+00,1.422137e-03,3,3,2.000000e-03,0.000000e+00
17,7,-0.002611,6.638388e-08,5.372612e-08,4,2.000000e-08,1.329465e-01,1.000000e+00,4.316181e-03,3,3,2.000000e-03,0.000000e+00
17,9,-0.002647,6.711013e-08,5.380490e-08,8,2.000000e-08,2.334049e-01,1.000000e+00,1.635343e-03,3,3,2.000000e-03,0.000000e+00
18,1,-0.002592,6.600960e-08,5.255647e-08,5,2.000000e-08,2.820975e-01,1.000000e+00,1.151770e-03,3,3,2.000000e-03,0.000000e+00
18,2,-0.002606,6.627879e-08,5.314364e-08,7,2.000000e-08,1.947485e-01,1.000000e+00,2.324373e-03,3,3,2.000000e-03,0.000000e+00
18,4,-0.002673,6.762669e-08,5.423180e-08,6,2.000000e-08,2.606764e-01,1.000000e+00,1.310617e-03,3,3,2.000000e-03,0.000000e+00
18,5,-0.002687,6.789728e-08,5.451586e-08,4,2.000000e-08,2.561837e-01,1.000000e+00,1.350552e-03,3,3,2.000000e-03,0.000000e+00
18,7,-0.002598,6.612608e-08,5.288170e-08,1,2.000000e-08,2.179270e-01,1.000000e+00,1.889795e-03,3,3,2.000000e-03,0.000000e+00
18,8,-0.002605,6.626097e-08,5.273297e-08,3,2.000000e-08,3.154007e-01,1.000000e+00,9.274781e-04,3,3,2.000000e-03,0.000000e+00
18,10,-0.002657,6.729745e-08,5.401275e-08,8,2.000000e-08,2.279435e-01,1.000000e+00,1.707166e-03,3,3,2.000000e-03,0.000000e+00
19,1,-0.002568,6.551526e-08,5.206701e-08,6,2.000000e-08,2.801682e-01,1.000000e+00,1.175851e-03,3,3,2.000000e-03,0.000000e+00
19,2,-0.002602,6.619857e-08,5.273286e-08,4,2.000000e-08,2.871930e-01,1.000000e+00,1.109630e-03,3,3,2.000000e-03,0.000000e+00
19,5,-0.002682,6.779615e-08,5.441795e-08,7,2.000000e-08,2.551311e-01,1.000000e+00,1.363307e-03,3,3,2.000000e-03,0.000000e+00
19,6,-0.002574,6.563445e-08,5.231534e-08,5,2.000000e-08,2.372465e-01,1.000000e+00,1.617879e-03,3,3,2.000000e-03,0.000000e+00
19,7,-0.002586,6.589055e-08,5.278767e-08,7,2.000000e-08,1.888137e-01,1.000000e+00,2.470523e-03,3,3,2.000000e-03,0.000000e+00
19,8,-0.002586,6.588558e-08,5.243676e-08,6,2.000000e-08,2.803867e-01,1.000000e+00,1.167506e-03,3,3,2.000000e-03,0.000000e+00
19,10,-0.002627,6.670580e-08,5.361999e-08,5,2.000000e-08,1.858202e-01,1.000000e+00,2.515405e-03,3,3,2.000000e-03,0.000000e+00
20,3,-0.002540,6.496408e-08,5.165421e-08,7,2.000000e-08,2.346747e-01,1.000000e+00,1.668006e-03,3,3,2.000000e-03,0.000000e+00
20,5,-0.002670,6.756431e-08,5.463930e-08,5,2.000000e-08,1.616677e-01,1.000000e+00,3.159255e-03,3,3,2.000000e-03,0.000000e+00
20,6,-0.002554,6.523970e-08,5.186458e-08,4,2.000000e-08,2.541311e-01,1.000000e+00,1.425177e-03,3,3,2.000000e-03,0.000000e+00
20,7,-0.002585,6.586902e-08,5.253233e-08,2,2.000000e-08,2.422972e-01,1.000000e+00,1.548380e-03,3,3,2.000000e-03,0.000000e+00
